lon,lat,size,dir,group
24.0,54.9,340000,1,1
24.5,55.0,340000,1,1
25.5,54.6,340000,1,1
26.0,54.7,320000,1,1
27.0,54.8,300000,1,1
28.0,54.9,280000,1,1
28.5,55.0,240000,1,1
29.0,55.1,210000,1,1
30.0,55.2,180000,1,1
30.3,55.3,175000,1,1
32.0,54.8,145000,1,1
33.2,54.9,140000,1,1
34.4,55.5,127100,1,1
35.5,55.4,100000,1,1
36.0,55.5,100000,1,1
37.6,55.8,100000,1,1
37.65,55.65,100000,-1,1
37.45,55.62,98000,-1,1
37.0,55.0,97000,-1,1
36.8,55.0,96000,-1,1
35.4,55.3,87000,-1,1
34.3,55.2,55000,-1,1
33.3,54.8,37000,-1,1
32.0,54.6,24000,-1,1
30.4,54.4,20000,-1,1
29.2,54.3,20000,-1,1
29.13,54.29,50000,-1,1
28.5,54.2,50000,-1,1
28.3,54.3,48000,-1,1
26.8,54.3,12000,-1,1
26.8,54.4,14000,-1,1
25.0,54.4,8000,-1,1
24.4,54.4,4000,-1,1
24.2,54.4,4000,-1,1
24.1,54.4,4000,-1,1
24.0,55.1,60000,1,2
24.5,55.2,60000,1,2
25.5,54.7,60000,1,2
26.6,55.7,40000,1,2
27.4,55.6,33000,1,2
28.7,55.5,33000,1,2
28.7,55.5,33000,-1,2
29.2,54.29,30000,-1,2
24.0,55.2,22000,1,3
24.5,55.3,22000,1,3
24.6,55.8,6000,1,3
24.6,55.8,6000,-1,3
24.2,54.4,6000,-1,3
24.1,54.4,6000,-1,3

